2026-02-08 18:12:42,236 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.236085", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_revenue", "metric": "revenue_musd", "top_movie": "Avatar", "top_value": 2923.706026, "rows_returned": 10}
2026-02-08 18:12:42,236 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.236193", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_budget", "metric": "budget_musd"}
2026-02-08 18:12:42,237 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.237220", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_budget", "metric": "budget_musd", "top_movie": "Avengers: Endgame", "top_value": 356.0, "rows_returned": 10}
2026-02-08 18:12:42,237 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.237324", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_profit", "metric": "profit"}
2026-02-08 18:12:42,238 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.238319", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_profit", "metric": "profit", "top_movie": "Avatar", "top_value": 2686.706026, "rows_returned": 10}
2026-02-08 18:12:42,238 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.238422", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI lowest_profit", "metric": "profit"}
2026-02-08 18:12:42,239 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.239371", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_profit", "metric": "profit", "top_movie": "Star Wars: The Last Jedi", "top_value": 1032.69883, "rows_returned": 10}
2026-02-08 18:12:42,239 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.239474", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_roi", "metric": "roi"}
2026-02-08 18:12:42,240 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.240927", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_roi", "metric": "roi", "top_movie": "Avatar", "top_value": 12.33631234599156, "rows_returned": 10}
2026-02-08 18:12:42,241 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.241147", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI lowest_roi", "metric": "roi"}
2026-02-08 18:12:42,244 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.244629", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_roi", "metric": "roi", "top_movie": "Star Wars: The Last Jedi", "top_value": 4.442329433333334, "rows_returned": 10}
2026-02-08 18:12:42,244 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.244941", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI most_voted", "metric": "vote_count"}
2026-02-08 18:12:42,247 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.247264", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_voted", "metric": "vote_count", "top_movie": "The Avengers", "top_value": 35720.0, "rows_returned": 10}
2026-02-08 18:12:42,247 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.247492", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI highest_rated", "metric": "vote_average"}
2026-02-08 18:12:42,249 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.249723", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_rated", "metric": "vote_average", "top_movie": "Avengers: Endgame", "top_value": 8.236, "rows_returned": 10}
2026-02-08 18:12:42,249 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.249909", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI lowest_rated", "metric": "vote_average"}
2026-02-08 18:12:42,252 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.252675", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_rated", "metric": "vote_average", "top_movie": "Jurassic World: Fallen Kingdom", "top_value": 6.533, "rows_returned": 10}
2026-02-08 18:12:42,252 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.252843", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI most_popular", "metric": "popularity"}
2026-02-08 18:12:42,254 | INFO | advanced | {"timestamp": "2026-02-08T18:12:42.254725", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_popular", "metric": "popularity", "top_movie": "The Avengers", "top_value": 63.2171, "rows_returned": 10}
