2026-02-08 18:14:20,724 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.724464", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_roi", "metric": "roi", "top_movie": "Avatar", "top_value": 12.33631234599156, "rows_returned": 10}
2026-02-08 18:14:20,724 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.724668", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: lowest_roi", "metric_column": "roi"}
2026-02-08 18:14:20,727 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.727455", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_roi", "metric": "roi", "top_movie": "Star Wars: The Last Jedi", "top_value": 4.442329433333334, "rows_returned": 10}
2026-02-08 18:14:20,727 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.727715", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: most_voted", "metric_column": "vote_count"}
2026-02-08 18:14:20,729 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.729821", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_voted", "metric": "vote_count", "top_movie": "The Avengers", "top_value": 35720.0, "rows_returned": 10}
2026-02-08 18:14:20,730 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.730045", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: highest_rated", "metric_column": "vote_average"}
2026-02-08 18:14:20,733 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.733011", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "highest_rated", "metric": "vote_average", "top_movie": "Avengers: Endgame", "top_value": 8.236, "rows_returned": 10}
2026-02-08 18:14:20,733 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.733399", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: lowest_rated", "metric_column": "vote_average"}
2026-02-08 18:14:20,741 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.741341", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "lowest_rated", "metric": "vote_average", "top_movie": "Jurassic World: Fallen Kingdom", "top_value": 6.533, "rows_returned": 10}
2026-02-08 18:14:20,741 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.741740", "level": "INFO", "event_type": "kpi_computation_start", "message": "Computing KPI: most_popular", "metric_column": "popularity"}
2026-02-08 18:14:20,744 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.744780", "level": "INFO", "event_type": "kpi_result", "message": "KPI computed successfully", "kpi_name": "most_popular", "metric": "popularity", "top_movie": "The Avengers", "top_value": 63.2171, "rows_returned": 10}
2026-02-08 18:14:20,745 | INFO | kpi | {"timestamp": "2026-02-08T18:14:20.745031", "level": "INFO", "event_type": "pipeline_complete", "message": "KPI computation completed"}
2026-02-08 18:14:20,745 | INFO | kpi | KPI computation completed
